,,#NAME?,,,,Dances,157,10,31,2396,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/20/22,PYY,32,58,33,46,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PYY,38,52,39,49,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PYY,46,3,47,3,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PYY,52,29,53,11,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PYY,59,13,60,9,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RB,12,18,13,23,0,,1,0,,,,,,,,,,,,,,
7B,7/20/22,RB,18,55,19,42,1,,,3,3,,,,,,,,,,,,,
7B,7/20/22,RB,24,2,25,8,1,,3,2,2,,,,,,,,,,,,,
7B,7/20/22,RB,29,11,30,16,1,,1,4,4,,,,,,,,,,,,,
7B,7/20/22,RB,35,28,36,31,1,,,6,6,,,,,,,,,,,,,
7B,7/20/22,RB,41,40,42,21,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,RB,48,17,49,11,1,first bout on glass,,12,5,7,,,,,,,,,,,,
7B,7/20/22,RB,55,19,56,40,1,,,15,3,6,6,,,,,,,,,,,
7B,7/20/22,RF,10,2,10,51,1,,1,1,1,,,,,,,,,,,,,
7B,7/20/22,RF,20,13,21,7,1,,,2,2,,,,,,,,,,,,,
