"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Decimal_entrance_time","Total_runs","Trial","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Array_time","Duration"
"7B","7/20/22","PYY_7B",12,55,0,12.9166666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",9,51
"7B","7/20/22","PYY_7B",19,15,0,19.25,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",9,51
"7B","7/20/22","PYY_7B",25,31,0,25.5166666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",9,51
"7B","7/20/22","PYY_7B",32,58,0,32.9666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",9,51
"7B","7/20/22","PYY_7B",38,52,0,38.8666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",9,51
"7B","7/20/22","PYY_7B",46,3,0,46.05,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",9,51
"7B","7/20/22","PYY_7B",52,29,0,52.4833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",9,51
"7B","7/20/22","PYY_7B",59,13,0,59.2166666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",9,51
"7B","7/20/22","RB_7B",12,18,0,12.3,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","RB_7B",18,55,1,18.9166666666667,3,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","RB_7B",24,2,1,24.0333333333333,2,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","RB_7B",29,11,1,29.1833333333333,4,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","RB_7B",35,28,1,35.4666666666667,6,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","RB_7B",41,40,0,41.6666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","RB_7B",48,17,1,48.2833333333333,12,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","RB_7B",55,19,1,55.3166666666667,15,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","RF_7B",10,2,1,10.0333333333333,1,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RF_7B",20,13,1,20.2166666666667,2,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RF_7B",26,21,0,26.35,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RF_7B",32,42,1,32.7,4,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RF_7B",40,15,0,40.25,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RF_7B",47,10,0,47.1666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RF_7B",54,46,1,54.7666666666667,2,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",11,8,1,11.1333333333333,2,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",16,27,0,16.45,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",22,0,0,22,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",27,35,0,27.5833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",32,41,0,32.6833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",37,44,0,37.7333333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",42,55,0,42.9166666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",48,5,0,48.0833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",53,28,0,53.4666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RO_7B",58,27,0,58.45,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",7,53
"7B","7/20/22","RWR_7B",13,20,0,13.3333333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",17,43
"7B","7/20/22","RWR_7B",26,9,0,26.15,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",17,43
"7B","7/20/22","RWR_7B",40,50,0,40.8333333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",17,43
"7B","7/20/22","RWR_7B",55,15,0,55.25,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",17,43
"7B","7/20/22","WGG_7B",12,51,0,12.85,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",17,18,0,17.3,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",23,15,0,23.25,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",28,37,0,28.6166666666667,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",32,57,1,32.95,12,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",37,23,1,37.3833333333333,17,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",41,15,1,41.25,2,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
"7B","7/20/22","WGG_7B",45,0,1,45,17,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",11,49
